site,occ,cq,copy_no,size,water_temp,air_temp,pH,salinity,do,turbidity,cond,canopy_pct,tds,day
1,1,32,2.76694E-06,0.581826473,21,26,7.327952124,0.188011972,6.513485438,9.107139263,257.8177442,45,0.073466426,162
2,1,35,2.76694E-06,0.823858523,23,28,5.870454997,0.360358564,8.613377064,11.13505561,345.7726452,56,0.305045005,167
3,0,0,0,1.002791457,15,19,5.740223252,0.102135263,3.196042749,13.32612881,288.0249852,65,0.324345793,197
4,1,37,9.50605E-07,1.316447424,14,17,6.473603925,0.209540897,9.871915913,6.091363985,409.3439456,8,0.114332103,136
5,0,0,0,1.773040108,11,12,6.447588611,0.345541523,8.277212517,17.57965717,231.4240729,35,0.245700624,122
6,0,0,0,0.502207115,16,17,5.836723978,0.076297369,5.528639645,2.064806511,105.6154102,56,0.101928045,170
7,1,33,8.05378E-06,1.954751138,28,29,8.613982007,0.058356146,10.34114639,17.94798253,451.6021095,15,0.360310408,146
8,1,33,8.05378E-06,1.501132155,9,14,8.39408691,0.154371456,4.70283076,0.704610024,93.13862236,1,0.082401071,180
9,0,0,0,1.558816605,27,28,8.020078158,0.17123287,5.009583889,1.426952211,440.9846621,68,0.398106894,185
10,0,0,0,0.788366617,11,14,5.768311374,0.188297069,5.642164343,12.75613551,156.4505983,25,0.32473206,155
11,1,40,1.91426E-07,1.449825732,9,13,8.649857152,0.282575397,10.85088225,6.512698265,294.6192624,62,0.133815301,194
12,0,0,0,1.7339799,25,28,8.602814323,0.101402637,8.695184954,5.761561996,229.9229845,59,0.288557774,170
13,0,0,0,0.451846452,29,31,8.824083746,0.216147874,4.219287813,17.58501133,92.55139891,19,0.055465854,172
14,1,34,4.72063E-06,1.784277833,13,17,6.396864023,0.1978804,7.482295009,5.737042643,219.8977775,7,0.270957954,124
15,0,0,0,0.470537081,23,26,7.604852449,0.313300373,3.145251465,17.70853469,292.6162486,63,0.212516376,168
16,1,37,9.50605E-07,0.878281723,23,27,8.077590393,0.13327066,9.358691577,17.37950157,433.4281098,48,0.289274371,148
17,0,0,0,0.580345117,11,14,7.211500177,0.07524264,3.145457865,3.089981772,90.00656243,55,0.39799863,140
