site,occ,cq,copy_no,size,water_temp,air_temp,pH,salinity,do,turbidity,cond,canopy_pct,tds,day
1,0,0,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,1.522280281,18,23,5.974755134,0.228726727,4.194925205,1.337822822,115.9427049,62,0.195408535,192
2,1,40,1.91426E-07,0.266147966,28,29,7.634563005,0.316639477,8.187081881,10.44683588,374.357979,37,0.37997275,125
3,0,0,0,0.918167701,22,27,8.627486003,0.169427393,6.808282271,7.028221839,246.8354045,65,0.173951714,147
4,1,29,6.82339E-05,1.149347659,22,24,8.321361112,0.164034216,7.338179809,18.9074217,191.7255949,9,0.106850555,192
5,0,0,0,0.481164145,20,23,5.727381986,0.191675588,10.48952866,12.03368319,237.9477039,22,0.142671146,127
6,0,0,0,1.228878825,26,28,7.603487546,0.274103234,3.5947734,2.702715055,192.7527855,46,0.170514571,125
7,1,25,0.000578096,1.619098439,28,31,8.120040854,0.214379818,9.856802877,14.3114825,194.296612,59,0.353170852,200
8,1,37,9.50605E-07,0.699972431,17,19,6.006730567,0.105130472,1.995768973,18.05002989,327.6427264,41,0.113918947,155
9,0,0,0,0.085517391,12,14,7.061558176,0.210421371,10.37550523,11.2037132,130.0788484,32,0.395811304,190
10,1,27,0.000198609,1.079422406,27,29,6.076604646,0.186232121,6.614532082,15.19091423,68.0000795,14,0.228693378,171
11,1,31,2.34423E-05,0.718523704,10,13,6.527083333,0.314307717,3.13027244,14.81441623,76.06681156,30,0.381069593,196
12,0,0,0,0.529811006,12,17,6.464912589,0.135846706,8.260948957,13.75925873,104.717495,57,0.128498819,155
13,1,35,2.76694E-06,0.442323396,27,31,7.178620172,0.260249334,3.430402789,10.92006876,172.3942948,69,0.329589624,174
14,0,0,0,1.283086337,23,27,6.924941889,0.367099501,10.06559544,4.503615608,178.523247,35,0.071126296,141
15,1,36,1.62181E-06,0.757491666,20,24,9.357326669,0.183132334,8.820761133,14.05357566,406.6127365,19,0.161369548,185
16,0,0,0,0.264129941,10,13,9.297496722,0.249971087,11.04906669,19.59673496,92.81357562,67,0.20942079,172
17,1,29,6.82339E-05,1.210571407,22,24,7.196555342,0.114682262,3.268251694,18.65341961,167.7353452,52,0.285713357,193
18,0,0,0,1.046258669,15,19,7.908602049,0.235189351,9.594754345,19.14485655,191.304867,30,0.227235717,197
19,1,38,5.57186E-07,1.161518029,22,24,8.611383156,0.24276972,9.288008697,10.54477599,327.4104213,37,0.296616412,188
20,0,0,0,1.118229046,27,29,6.492524489,0.090586783,0.290083633,2.00921583,400.8013481,44,0.174498089,179
21,1,34,4.72063E-06,1.989086733,10,14,8.725877153,0.13079351,8.543076419,6.353577201,83.77950091,43,0.068067887,199
22,1,26,0.000338844,0.199495563,9,13,7.102526951,0.347732363,10.30953793,19.70334025,402.5703574,2,0.12569578,163
23,1,38,5.57186E-07,1.183721116,23,24,6.131670077,0.228406055,6.326298014,12.4056697,293.6187051,35,0.155621221,172
24,0,0,0,1.888790227,11,12,7.633933289,0.22039003,4.437576237,10.03222268,414.7466036,1,0.286863276,139
25,0,0,0,0.793372063,23,27,5.92464308,0.146254429,0.462280526,15.12908326,264.4443268,12,0.302718357,175
26,0,0,0,0.742048498,22,24,9.382952023,0.216819964,2.484139228,14.53476394,365.7031414,10,0.368074155,136
27,1,28,0.000116413,0.113789978,25,27,7.167222022,0.13524382,10.60296107,15.15919481,401.9237293,42,0.289065238,157
28,0,0,0,1.988796377,20,21,6.685842058,0.156794991,11.5067428,12.29149579,262.5679327,35,0.126299272,171
29,1,37,9.50605E-07,0.076559923,20,25,5.620181233,0.300314325,10.92138197,8.017560005,214.4635848,31,0.133519681,123
30,0,0,0,0.690791256,10,12,6.668335231,0.317272492,1.270076635,8.579517907,185.7384248,46,0.153387519,130
31,1,32,1.37404E-05,0.045764429,18,22,6.926445268,0.268628097,1.984943086,14.17983605,304.7782207,42,0.220033891,163
32,1,27,0.000198609,0.218355809,17,21,8.931579716,0.155006236,1.021723671,16.81544689,322.8629801,28,0.118155467,194
33,0,0,0,0.660511836,24,26,8.288265794,0.297020204,3.011510149,19.29894003,137.0652067,2,0.374069661,161
34,1,30,3.99945E-05,1.801480797,26,29,9.036505937,0.353205978,7.091647596,14.89568226,269.1494125,62,0.360042607,133
35,0,0,0,1.141176477,12,16,8.21847633,0.054165081,11.20579552,13.73105314,298.594291,12,0.094570838,179
36,0,0,0,0.731042039,11,13,7.879478316,0.393623475,6.762726911,14.08358995,74.90749587,36,0.340402316,142
37,1,37,9.50605E-07,1.253577734,23,25,5.943219684,0.377030152,1.986237453,19.2377461,498.6930201,15,0.322430943,176
38,1,34,4.72063E-06,1.844550535,15,19,6.965946906,0.212997135,8.325632032,5.089997882,224.8109893,17,0.110961238,164
39,1,31,2.34423E-05,1.348806034,14,19,7.211803555,0.07217631,3.436073864,12.64501541,182.6358385,50,0.33530766,148
40,0,0,0,0.119938151,22,24,5.850096716,0.224421586,6.779522436,4.805173175,499.0059704,22,0.193692685,168
41,1,38,5.57186E-07,0.330427887,20,21,8.252866589,0.198681264,7.954883956,0.095043565,264.2351012,29,0.094819156,187
42,1,30,3.99945E-05,1.455573465,23,25,5.745261249,0.364508986,3.232705387,12.46859239,70.90374862,36,0.073369684,178
43,1,29,6.82339E-05,1.788970092,12,15,6.982097738,0.177394327,8.627823271,14.68322138,185.6302475,37,0.165275747,124
44,1,39,3.26588E-07,0.494177498,27,30,9.085583558,0.202503148,7.559456933,1.957512472,356.6101197,3,0.067178536,133
45,0,0,0,1.907588002,20,23,5.531554153,0.206833361,9.274699391,15.45341226,251.1041988,18,0.078532793,165
46,1,33,8.05378E-06,1.928068384,19,20,7.644148343,0.374172779,0.867902611,11.69103963,261.1756192,67,0.350574277,159
47,0,0,0,0.567974826,26,29,6.515767363,0.215835257,10.1559517,13.96237528,310.921224,3,0.160629771,156
48,1,34,4.72063E-06,0.818801724,17,18,6.915663078,0.19365121,1.896924562,10.37730131,438.6174706,27,0.360094304,166
49,1,31,2.34423E-05,1.542760584,18,20,9.0567992,0.161879967,5.374427285,5.601172785,140.6809099,68,0.320302648,126
50,1,28,0.000116413,1.99666086,11,13,6.486533951,0.327115978,9.354606902,17.08679408,370.8002483,44,0.159651113,177
51,1,27,0.000198609,1.506253593,10,12,8.883153052,0.34820411,5.069889969,18.22509518,495.1817442,47,0.177751305,158
52,1,37,9.50605E-07,1.852995567,22,24,6.488153832,0.084962486,9.486166735,13.76535081,469.7802561,67,0.308288603,150
53,1,32,1.37404E-05,1.428331767,21,26,7.087928388,0.225054507,9.120508873,1.295844948,101.0105468,23,0.35997113,129
54,1,37,9.50605E-07,1.08791128,21,22,8.205990621,0.382212912,9.805186198,9.56623296,387.6123172,52,0.157427117,155
55,1,37,9.50605E-07,0.709213561,14,18,7.685479393,0.368213198,3.129475595,8.958399357,50.35941859,10,0.242585338,147
56,1,36,1.62181E-06,1.600487397,23,28,6.557218159,0.390709838,11.8500159,1.666764803,147.7812615,54,0.057991061,142
57,0,0,0,1.424866083,22,24,6.927733903,0.331872897,8.128881585,8.596656117,136.0083108,7,0.103496034,188
58,1,32,1.37404E-05,0.729589037,13,15,6.030352702,0.140565663,7.170640164,18.62268631,118.0497977,27,0.133091813,138
59,1,27,0.000198609,0.012876892,26,29,5.838312215,0.214135088,8.37509932,3.8828232,488.0637567,15,0.318030094,178
60,1,31,2.34423E-05,0.474517615,17,20,8.201993222,0.144219887,2.007186178,19.18923482,202.7890151,12,0.253963482,143
61,0,0,0,1.647322417,16,21,7.231750298,0.290167985,1.276013846,8.177317183,408.9670295,13,0.109178533,154
62,1,28,0.000116413,1.006327505,22,27,9.008465556,0.065422153,7.047080708,19.92629063,396.0093888,63,0.380162094,129
63,0,0,0,1.290619016,13,14,8.992443756,0.261687803,5.821856511,1.80162447,251.5623091,12,0.328127796,155
64,0,0,0,0.391266823,19,23,6.17844698,0.055171066,10.36751864,14.65473715,266.5128749,21,0.075237361,195
65,1,29,6.82339E-05,1.817975789,27,29,7.862759947,0.385739948,7.845292161,4.226315389,367.2481801,10,0.142944443,194
66,0,0,0,1.372874247,7,12,6.785545152,0.200379249,5.729811227,8.526351102,416.0689786,24,0.212355653,167
67,1,39,3.26588E-07,0.096425869,9,14,7.493660768,0.33825544,4.234607226,7.236560442,288.1125467,62,0.321819014,151
