site,edna_occ,wetland_size,pct_pos_qpcr,water_temp,air_temp,pH,salinity,rdo_conc,turbidity,conductivity,canopy_cover,tds,julian_day_eDNA
1,0,1.10033861,0,12,14,5.508529431,0.316260212,10.70276968,12.4682365,119.7483079,7,0.118874745,191
2,0,0.918155547,0,14,16,7.849327888,0.318475347,9.954428462,18.67083782,270.012335,17,0.267632562,158
3,0,1.085553076,0,16,17,8.660462443,0.234088543,4.71464495,19.48692624,372.9918546,32,0.380982304,197
4,0,0.140796267,0,21,22,6.166651724,0.165189859,4.914116523,18.24969092,89.73717825,47,0.06378636,147
5,1,1.352405342,29,15,18,7.301145827,0.315111909,9.589680379,9.934483656,426.8372145,4,0.176944521,196
6,0,1.404011839,0,27,31,9.17566462,0.072139841,3.79126902,5.177144357,317.6809883,20,0.350452182,175
7,0,0.432462893,0,24,28,6.253914594,0.109317797,2.44470087,7.329210563,59.88879954,33,0.275733349,124
8,0,0.4294639,0,14,17,9.216533957,0.38612422,7.696637655,3.960048756,451.3454515,14,0.063664703,165
9,0,0.939746242,0,23,28,7.82825393,0.078568946,11.73200715,7.122417651,144.6674998,5,0.178476878,142
10,1,0.286177633,16,16,18,9.196899915,0.373242877,5.37575061,5.611615626,320.0321312,35,0.057973484,156
11,1,1.651405041,27,26,27,5.589036267,0.391181523,4.321041903,16.34418107,228.4339848,40,0.173369106,159
12,1,1.445304898,85,28,31,6.360306082,0.137589297,3.911860654,11.18930236,324.0861743,60,0.222304216,123
13,0,1.221094311,0,17,20,8.660230651,0.161803564,3.660465593,19.13102625,57.61448015,5,0.092629602,164
14,0,0.841059098,0,26,27,6.529169024,0.242486507,1.862455829,4.149001372,156.6720463,55,0.144034964,185
15,0,1.11776672,0,22,27,8.851299819,0.210867785,1.984587311,4.67542078,62.04335124,41,0.150375168,130
16,1,1.537563834,40,12,15,5.518957358,0.352875379,7.38776308,4.024661298,101.8849448,10,0.286591534,141
17,0,0.721650025,0,14,15,6.545681148,0.202871928,3.460708697,11.65073449,267.6007064,33,0.216219742,132
18,0,1.966728427,0,12,16,6.690560585,0.076117707,1.740023092,13.66937274,314.6465589,7,0.20175053,191
19,0,0.979406529,0,25,30,7.681435947,0.341017624,4.363292866,13.0440052,427.4438991,55,0.235154185,184
20,0,1.146166752,0,9,14,6.920133131,0.163446049,10.73169347,19.44886682,433.9818882,4,0.280016145,199
21,1,0.771962766,7,12,14,5.679680385,0.377887515,8.764568841,1.85378439,179.9112544,61,0.20760744,145
22,0,0.803022101,0,10,13,5.985917996,0.177324948,0.792951058,2.550797059,383.1092512,60,0.313520963,186
23,0,1.964059509,0,19,20,8.48229188,0.342541235,2.883087496,13.90145064,182.6417877,34,0.097493479,136
24,1,1.563225087,37,10,12,9.120037152,0.161996961,10.48007193,0.357980545,449.9075702,3,0.086159102,144
25,0,0.568500057,0,8,12,9.088797524,0.077306468,4.319036126,1.830526366,122.3709128,21,0.390013314,194
26,1,0.137743049,48,17,19,7.341939457,0.234248045,8.964765303,17.07847083,57.71137402,16,0.104100694,186
27,0,0.086003393,0,16,19,7.516043424,0.054578414,6.177700457,15.21904456,381.1392485,48,0.358498617,149
28,1,1.911864169,61,15,16,6.789616737,0.088192734,6.242934079,6.641871036,164.3505087,2,0.055020475,169
29,0,1.007624074,0,27,30,7.687363381,0.296030389,8.168020106,3.789483838,161.0573452,51,0.315766011,179
30,1,0.893716689,81,27,31,9.453390057,0.05091508,7.385795583,6.195787056,435.4137781,30,0.101091783,153
31,1,1.69860878,38,25,27,8.859361168,0.134161089,2.93181535,4.153656128,186.4828605,15,0.229163647,201
32,1,0.393394798,92,22,24,7.271999432,0.390323727,2.861301106,6.84801041,63.89546286,67,0.341549153,197
